time(s),face,x,y,z
96.1893789768219,ES,0.875277,0.170068,0.452606
96.42713165283203,ES,0.881286,0.163329,0.443297
96.66088843345642,ES,0.883171,0.160793,0.440468
96.91270279884338,ES,0.880117,0.164074,0.445287
97.16244387626648,ES,0.87588,0.166394,0.452715
97.47611880302429,ES,0.874307,0.165861,0.455934
97.74802327156067,ES,0.878241,0.159785,0.450599
97.98702788352966,ES,0.880154,0.155215,0.448343
98.23814749717712,ES,0.880327,0.153942,0.448548
98.50921034812927,ES,0.879184,0.153348,0.451153
98.75996947288513,ES,0.875953,0.15311,0.457287
98.98989176750183,ES,0.877467,0.150418,0.455347
99.22068333625793,ES,0.880761,0.146386,0.450343
99.4735894203186,ES,0.882477,0.143376,0.448052
100.73481798171997,ES,0.895878,0.144913,0.420116
101.00453877449036,ES,0.890131,0.15153,0.429902
101.24129366874695,ES,0.888649,0.157833,0.430605
101.48204302787781,ES,0.892619,0.156453,0.422947
101.72480010986328,ES,0.893271,0.158592,0.420879
101.95854949951172,ES,0.892578,0.165836,0.419438
102.19030809402466,ES,0.892213,0.167806,0.419366
102.43505501747131,ES,0.890756,0.169839,0.421895
103.74893999099731,ES,0.875054,0.1714,0.452811
103.98777532577515,ES,0.886156,0.157925,0.435841
104.28147339820862,ES,0.88441,0.158053,0.439068
104.51822566986084,ES,0.877336,0.163999,0.451077
104.79594492912292,ES,0.875819,0.162143,0.454626
105.02969908714294,ES,0.875309,0.159088,0.456755
105.2754418849945,ES,0.875986,0.155115,0.456719
105.58212447166443,ES,0.878218,0.150537,0.454064
105.85584163665771,ES,0.880612,0.146488,0.45063
106.16751980781555,ES,0.882391,0.14438,0.447835
106.44223737716675,ES,0.885683,0.141842,0.441983
106.67599320411682,ES,0.886884,0.142381,0.439303
113.31926441192627,EU,0.738609,-0.355158,0.57285
113.6153211593628,EU,0.738938,-0.353556,0.573443
113.91910529136658,EU,0.73937,-0.352322,0.573612
114.23185873031616,EU,0.739585,-0.351327,0.574122
114.53754138946533,EU,0.739672,-0.350563,0.574339
114.86420583724976,EU,0.727632,-0.383106,0.568869
115.15989708900452,EU,0.715076,-0.420906,0.557927
115.44085955619812,EU,0.71187,-0.438907,0.548138
115.68271493911743,EU,0.708436,-0.460404,0.534754
115.93439078330994,EU,0.708753,-0.473976,0.522463
116.17714190483093,EU,0.710597,-0.485989,0.508728
116.42788052558899,EU,0.713712,-0.492491,0.49794
116.6926064491272,EU,0.716492,-0.495725,0.490621
116.95633316040039,EU,0.71915,-0.484099,0.498255
117.19808578491211,EU,0.7262,-0.45225,0.517681
117.4937789440155,EU,0.733061,-0.422705,0.532809
117.74651408195496,EU,0.728529,-0.431643,0.531907
117.99761915206909,EU,0.721315,-0.448888,0.527255
118.22787737846375,EU,0.716302,-0.46465,0.520504
118.46163272857666,EU,0.713663,-0.474796,0.514858
118.70638036727905,EU,0.713292,-0.480828,0.509943
118.96311497688293,EU,0.71345,-0.488513,0.502286
119.22584223747253,EU,0.714379,-0.485477,0.503857
119.47358679771423,EU,0.713948,-0.475311,0.514144
119.7213294506073,EU,0.718921,-0.447731,0.531531
119.95209264755249,EU,0.722343,-0.425426,0.54514
120.18584775924683,EU,0.72432,-0.407287,0.556211
120.4146134853363,EU,0.720503,-0.412347,0.557447
120.67434167861938,EU,0.715959,-0.419119,0.55827
120.90610313415527,EU,0.709321,-0.434091,0.555245
121.13907051086426,EU,0.705324,-0.442181,0.553996
121.38493347167969,EU,0.70367,-0.447477,0.551742
121.62268590927124,EU,0.702026,-0.452554,0.549678
121.85444760322571,EU,0.70105,-0.459806,0.544973
123.16617226600647,EU,0.699453,-0.487482,0.522574
123.4259033203125,EU,0.708037,-0.451666,0.542773
123.67473030090332,EU,0.712625,-0.43208,0.552719
123.92438864707947,EU,0.715612,-0.422358,0.556312
124.1601676940918,EU,0.709809,-0.439061,0.550865
124.40788507461548,EU,0.705242,-0.453762,0.544695
124.69059300422668,EU,0.701733,-0.476819,0.529235
124.9513533115387,EU,0.701471,-0.493026,0.514626
125.20736479759216,EU,0.704432,-0.499145,0.504777
125.50605630874634,EU,0.709512,-0.497036,0.499495
125.77977275848389,EU,0.712698,-0.494071,0.497989
126.01253151893616,EU,0.714977,-0.480062,0.508466
126.24728751182556,EU,0.725053,-0.434761,0.534104
126.48903751373291,EU,0.728054,-0.418437,0.543052
126.75875782966614,EU,0.725261,-0.424409,0.542121
127.0005087852478,EU,0.718874,-0.441519,0.53703
127.26123929023743,EU,0.715906,-0.452908,0.531457
127.50411009788513,EU,0.713881,-0.468427,0.520545
127.74597930908203,EU,0.715471,-0.47214,0.514909
127.9801013469696,EU,0.717894,-0.468866,0.514671
128.2249448299408,EU,0.719158,-0.464996,0.516441
128.47169423103333,EU,0.720119,-0.461749,0.518017
128.71543836593628,EU,0.721779,-0.458246,0.518725
128.95419239997864,EU,0.722912,-0.45462,0.520485
129.22990703582764,EU,0.722038,-0.453594,0.522462
129.4817671775818,EU,0.72789,-0.427805,0.536009
129.7447452545166,EU,0.732171,-0.408207,0.545252
129.98961353302002,EU,0.737291,-0.39052,0.551389
130.2353584766388,EU,0.731352,-0.399319,0.552989
130.4910957813263,EU,0.726904,-0.408572,0.552097
130.77786087989807,EU,0.721936,-0.415773,0.553304
131.01276516914368,EU,0.718222,-0.423466,0.552227
131.24852323532104,EU,0.716812,-0.426488,0.551811
131.49826169013977,EU,0.716673,-0.426098,0.552181
131.74605464935303,EU,0.716937,-0.429072,0.549535
134.42500352859497,EU,0.714335,-0.437,0.546745
134.6827371120453,EU,0.701004,-0.454202,0.549841
134.91149973869324,EU,0.700906,-0.458681,0.546375
135.15324926376343,EU,0.700083,-0.467636,0.539687
135.3930003643036,EU,0.699868,-0.474625,0.533871
135.63175630569458,EU,0.69897,-0.483882,0.526761
135.8715057373047,EU,0.700371,-0.482536,0.525947
136.1052656173706,EU,0.701862,-0.482528,0.524078
136.34202313423157,EU,0.703169,-0.481585,0.523106
136.59475708007812,EU,0.704311,-0.469603,0.532503
136.97555208206177,EU,0.710784,-0.441572,0.547589
137.23228335380554,EU,0.717289,-0.420175,0.55599
137.4810254573822,EU,0.709817,-0.434524,0.554492
137.7281174659729,EU,0.704871,-0.448034,0.550004
137.98223686218262,EU,0.702236,-0.46205,0.541627
138.24496579170227,EU,0.701563,-0.474903,0.531326
138.4820876121521,EU,0.702624,-0.485497,0.520174
138.71999049186707,EU,0.702758,-0.496619,0.509366
138.95574641227722,EU,0.705543,-0.501339,0.50078
139.22283387184143,EU,0.711077,-0.488372,0.505853
139.460595369339,EU,0.713808,-0.481491,0.508513
139.7253134250641,EU,0.718124,-0.456876,0.52485
139.96108436584473,EU,0.722658,-0.435945,0.536336
140.2018337249756,EU,0.72593,-0.419627,0.544971
140.43258213996887,EU,0.726878,-0.411711,0.549774
140.66534328460693,EU,0.721564,-0.428131,0.54403
140.89909863471985,EU,0.716008,-0.441888,0.540323
141.1398491859436,EU,0.712597,-0.45771,0.531683
141.36864066123962,EU,0.711896,-0.46752,0.524074
141.60941648483276,EU,0.712568,-0.476378,0.5152
